"","message","sender","receiver","m","spec","comp"
"92",14,4,38,18.4285714285714,0.0740907198481271,-0.0232499871098491
"93",14,4,46,19.5833333333333,0.0740961841776805,0.0960642564565204
"94",14,4,47,58.8461538461538,0.0740770208451987,0.131820998594798
"95",14,10,2,23.1875,0.0741054342739176,-0.177143866322348
"96",14,10,31,43.2666666666667,0.0740953786779193,0.026256723617861
"97",14,10,35,22.4,0.0740994949460867,-0.0309864768807025
"98",14,10,36,44.6666666666667,0.0741035240887697,-0.00659137131880536
"99",14,10,37,18,0.0741035117596917,-0.101570217623604
"100",14,10,39,23,0.0740888875005581,0.0127711775013017
"101",15,3,7,60.7272727272727,0.0740809534922981,-0.0707180858692747
"102",15,3,17,17.25,0.0740345864602285,-0.0695495091343167
"103",15,3,23,24.3,0.0740871814027475,-0.195116064720571
"104",15,3,25,13.8333333333333,0.074088238662281,-0.000219642698267904
"105",15,3,29,17.4705882352941,0.0741049805638481,0.136179704518619
"106",15,3,33,12.3,0.0740878488168354,-0.315931545552288
"107",15,3,42,31.25,0.0740818059247494,0.0891892721618039
"108",15,3,43,63.8333333333333,0.0740868091467865,-0.0972797497572984
"109",15,25,13,25.1,0.0740565379725979,0.19703952206552
"110",15,25,14,18.5,0.0741028681818213,0.192842881528298
"111",15,25,27,74.8571428571429,0.0740883617064792,0.00592178247815373
"112",15,25,32,63.8888888888889,0.0740761929065156,-0.216756058710268
"113",15,25,41,16.1111111111111,0.0740871892111636,-0.438052079233995
"114",15,25,45,13.7692307692308,0.074090952785507,-0.23181108014969
"115",16,3,7,61.2222222222222,0.074068653346557,0.306330447958538
"116",16,3,17,17.6666666666667,0.0740990141120456,-0.795593911345198
"117",16,3,23,26.0833333333333,0.0740905815158721,0.539654279095142
"118",16,3,25,14.25,0.0740927517623716,0.131061850204934
"119",16,3,29,11.1,0.0741031887378487,0.106018483096637
"120",16,3,33,37.5833333333333,0.0740846148174881,0.103826335498942
"121",16,3,42,8.1,0.0740898965122997,-0.59557110525202
"122",16,3,43,69.5833333333333,0.0740829415561219,0.213135173882058
"123",16,14,9,4.3,0.0741057030478176,-1.00201403533048
"124",16,14,11,17.4615384615385,0.0740934323274759,0.538545410660511
"125",16,14,26,55.5555555555556,0.0740793870418441,0.157137317933158
"126",16,14,30,31.5,0.0740811051399572,-0.256752090171714
"127",16,14,34,18.8888888888889,0.0740897682076949,0.220223402106511
"128",16,14,40,15,0.0741061682650266,-0.170814786487758
"129",16,14,44,32.3333333333333,0.0740997168694903,-0.329306204825384
"130",16,17,3,76.8461538461538,0.0740863131068825,-0.0400280195015455
"131",16,17,6,58.7692307692308,0.0740918005329087,0.121013796235733
"132",16,17,8,26.2,0.0740773561139258,-0.33230014959889
"133",16,17,15,65.7142857142857,0.0740754376271987,0.0338652670308722
"134",16,17,20,12.5,0.0740878567896392,-0.330568608889426
"135",16,17,24,55.1111111111111,0.0740919725646434,-0.0487624908635674
"136",16,25,13,16.4545454545455,0.0740634948603313,-0.473595577442535
"137",16,25,14,19.6,0.0740848038633504,0.368329841065952
"138",16,25,27,74.0833333333333,0.0740581128068249,0.242878437201756
"139",16,25,32,47.1538461538462,0.0740914881140727,0.434485784851797
"140",16,25,41,20,0.0740928487511183,0.00264635571739552
"141",16,25,45,13.1666666666667,0.0740848908244471,0.0744413219812025
"142",17,10,2,5.9,0.0741084211985423,-0.051739376122694
"143",17,10,31,52.2857142857143,0.0740904773762602,-0.0268410148866179
"144",17,10,35,26,0.0741023281682059,0.260910343900305
"145",17,10,36,28.9166666666667,0.0740851932156329,0.196485087848204
"146",17,10,37,45.5714285714286,0.0740834121405895,0.342436910141583
"147",17,10,39,9.81818181818182,0.0740818051028109,0.30748708303343
"148",20,3,7,74.8888888888889,-1.43778999787645,-0.195696088209455
"149",20,3,17,15.4375,0.074000187510733,-0.252512800848545
"150",20,3,23,15.1,0.0741041594472548,-0.105434197630436
"151",20,3,25,7.14285714285714,0.0741106807075663,-0.0777551355505913
"152",20,3,29,29.9285714285714,0.0740937758977822,-0.245066322822134
"153",20,3,33,22.5714285714286,0.0740888574998016,-0.157841025802567
"154",20,3,42,23.3333333333333,0.0740936041126291,-0.141071523168061
"155",20,3,43,70,-0.0402890091409586,-0.142231570145829
"156",21,10,2,12.1666666666667,0.0740893461422588,-0.700998904113925
"157",21,10,31,21.5454545454545,0.0740731435967564,-0.683598199447397
"158",21,10,35,28.6666666666667,0.0741160865972901,0.435791690677506
"159",21,10,36,56.3333333333333,0.0740897688652457,0.621377882727498
"160",21,10,37,48.625,0.0740867931189851,0.597903990942064
"161",21,10,39,55,0.0740802813109667,0.24102747989164
"162",22,14,9,11.5,-16.9383999941518,-0.500208419873695
"163",22,14,11,19.0909090909091,0.0740947926357461,-0.0146008133197219
"164",22,14,26,38.5,0.0740869714796465,-0.090549771334803
"165",22,14,30,32.4,0.0701228157776283,-0.344719476066765
"166",22,14,34,29.8888888888889,-0.984819672987682,-0.10618481626311
"167",22,14,40,21.3846153846154,0.0740908188095263,-0.187260158349065
"168",22,14,44,25.625,0.0740958710190999,-0.240571140783281
"169",26,4,4,69.125,0.0740979768256184,-0.110756766116668
"170",26,4,10,55.1818181818182,0.072773567542764,0.0196888105819656
"171",26,4,12,23.4375,0.074110672488181,0.19524827305573
