"","message","compositional","sender","receiver","evaluator","evaluation"
"433",35,"compositional",8,21,15,57
"434",35,"compositional",4,46,15,82
"435",29,"compositional",8,49,15,12
"436",15,"spectral",3,25,15,6
"437",10,"spectral",17,24,15,96
"438",4,"spectral",8,5,15,36
"439",14,"spectral",10,31,15,45
"440",35,"compositional",10,37,15,78
"441",4,"spectral",8,16,15,85
"442",30,"compositional",3,43,15,24
"443",32,"compositional",17,15,15,82
"444",31,"compositional",14,34,15,53
"445",32,"compositional",17,6,15,69
"446",11,"spectral",10,39,15,58
"447",20,"spectral",3,17,15,4
"448",22,"compositional",14,26,15,43
"449",38,"compositional",25,27,15,61
"450",16,"spectral",25,27,15,54
"451",11,"spectral",17,3,16,88
"452",28,"compositional",14,44,16,9
"453",35,"compositional",8,48,16,94
"454",26,"compositional",4,46,16,64
"455",26,"compositional",4,38,16,3
"456",11,"spectral",17,6,16,70
"457",14,"spectral",4,10,16,33
"458",37,"compositional",10,39,16,74
"459",39,"compositional",17,3,16,68
"460",0,"spectral",4,22,16,18
"461",16,"spectral",14,40,16,32
"462",36,"compositional",3,29,16,15
"463",16,"spectral",3,17,16,9
"464",17,"spectral",10,31,16,45
"465",9,"spectral",4,38,16,4
"466",15,"spectral",3,23,16,8
"467",4,"spectral",8,49,16,3
"468",33,"compositional",25,13,16,29
"469",34,"compositional",4,47,16,61
"470",10,"spectral",17,3,16,26
"471",0,"spectral",4,19,16,14
"472",5,"spectral",3,17,16,27
"473",26,"compositional",4,28,16,56
"474",15,"spectral",3,25,16,34
"475",35,"compositional",10,37,16,62
"476",1,"spectral",14,40,16,29
"477",15,"spectral",3,17,16,11
"478",26,"compositional",4,22,16,15
"479",35,"compositional",8,18,16,62
"480",34,"compositional",4,19,16,58
"481",14,"spectral",4,12,17,31
"482",2,"spectral",8,21,17,82
"483",35,"compositional",4,4,17,25
"484",38,"compositional",25,45,17,29
"485",13,"spectral",25,41,17,15
"486",1,"spectral",14,11,17,87
"487",11,"spectral",17,3,17,76
"488",37,"compositional",10,36,17,72
"489",10,"spectral",17,15,17,70
"490",35,"compositional",4,12,17,48
"491",33,"compositional",25,13,17,29
"492",28,"compositional",14,44,17,32
"493",11,"spectral",17,20,17,24
"494",14,"spectral",4,38,17,8
"495",26,"compositional",4,46,17,19
"496",1,"spectral",14,30,17,27
"497",22,"compositional",14,40,17,25
"498",32,"compositional",17,3,17,40
"499",21,"compositional",10,39,17,40
"500",31,"compositional",17,8,17,59
"501",14,"spectral",4,47,17,42
"502",30,"compositional",3,17,17,30
"503",10,"spectral",17,8,17,33
"504",30,"compositional",3,33,17,30
"505",16,"spectral",25,13,17,20
"506",16,"spectral",3,23,17,23
"507",26,"compositional",8,49,17,19
"508",39,"compositional",17,3,17,28
"509",20,"spectral",3,29,17,22
"510",15,"spectral",3,29,17,21
"511",35,"compositional",10,31,18,31
"512",9,"spectral",14,11,18,2
"513",31,"compositional",17,3,18,61
"514",16,"spectral",14,40,18,3
"515",4,"spectral",8,48,18,55
"516",16,"spectral",14,34,18,0
"517",11,"spectral",17,8,18,88
"518",15,"spectral",25,27,18,62
"519",9,"spectral",4,19,18,1
"520",35,"compositional",10,36,18,16
"521",20,"spectral",3,23,18,1
"522",27,"compositional",25,45,18,2
"523",26,"compositional",8,50,18,2
"524",36,"compositional",3,29,18,1
"525",35,"compositional",8,48,18,56
"526",31,"compositional",17,6,18,16
"527",10,"spectral",17,6,18,75
"528",0,"spectral",4,28,18,88
"529",14,"spectral",4,46,18,4
"530",15,"spectral",3,29,18,1
"531",28,"compositional",14,44,18,1
"532",17,"spectral",10,2,18,1
"533",9,"spectral",14,9,18,2
"534",10,"spectral",17,20,18,1
"535",7,"spectral",8,48,18,12
"536",34,"compositional",4,47,18,64
"537",33,"compositional",25,27,18,76
"538",30,"compositional",3,29,18,6
"539",9,"spectral",4,4,18,12
"540",16,"spectral",25,45,18,1
"541",5,"spectral",3,29,19,76
"542",29,"compositional",8,5,19,94
"543",16,"spectral",14,9,19,3
"544",28,"compositional",14,34,19,10
"545",14,"spectral",10,37,19,6
"546",20,"spectral",3,33,19,10
"547",26,"compositional",4,12,19,6
"548",9,"spectral",14,34,19,2
"549",31,"compositional",14,9,19,5
"550",30,"compositional",3,43,19,54
"551",35,"compositional",10,36,19,43
"552",30,"compositional",3,33,19,73
"553",0,"spectral",4,28,19,64
"554",37,"compositional",10,39,19,77
"555",26,"compositional",8,16,19,91
"556",28,"compositional",14,44,19,18
"557",15,"spectral",25,41,19,7
"558",14,"spectral",10,39,19,3
"559",35,"compositional",4,12,19,65
"560",4,"spectral",8,48,19,8
"561",10,"spectral",17,8,19,89
"562",39,"compositional",17,24,19,13
"563",39,"compositional",17,6,19,19
"564",11,"spectral",10,39,19,5
"565",7,"spectral",8,16,19,79
"566",39,"compositional",17,3,19,7
"567",10,"spectral",17,24,19,92
"568",37,"compositional",10,35,19,5
"569",11,"spectral",17,20,19,4
"570",20,"spectral",3,29,19,8
"571",35,"compositional",4,12,20,71
"572",16,"spectral",25,41,20,41
"573",2,"spectral",8,5,20,55
"574",30,"compositional",3,43,20,5
"575",27,"compositional",25,14,20,83
"576",35,"compositional",10,36,20,0
"577",14,"spectral",4,12,20,8
"578",13,"spectral",25,32,20,80
"579",13,"spectral",25,45,20,22
"580",26,"compositional",4,46,20,55
"581",22,"compositional",14,34,20,29
"582",4,"spectral",8,50,20,63
"583",1,"spectral",14,34,20,40
"584",27,"compositional",25,32,20,96
"585",37,"compositional",10,2,20,32
"586",37,"compositional",10,39,20,71
"587",0,"spectral",4,47,20,56
"588",1,"spectral",14,30,20,45
"589",13,"spectral",25,27,20,83
"590",5,"spectral",3,29,20,43
"591",26,"compositional",4,12,20,41
"592",20,"spectral",3,33,20,58
"593",26,"compositional",4,47,20,84
"594",27,"compositional",25,41,20,64
"595",28,"compositional",14,30,20,14
"596",16,"spectral",3,33,20,33
"597",14,"spectral",4,19,20,1
"598",20,"spectral",3,42,20,44
"599",34,"compositional",4,22,20,2
"600",16,"spectral",25,32,20,42
"601",2,"spectral",8,21,21,37
"602",31,"compositional",14,30,21,53
"603",15,"spectral",3,17,21,9
"604",35,"compositional",4,19,21,95
"605",28,"compositional",14,44,21,4
"606",15,"spectral",25,14,21,20
"607",26,"compositional",4,22,21,57
"608",31,"compositional",14,26,21,11
"609",28,"compositional",14,40,21,6
"610",0,"spectral",4,46,21,7
"611",7,"spectral",8,21,21,37
"612",13,"spectral",25,27,21,88
"613",9,"spectral",4,19,21,0
"614",2,"spectral",8,49,21,5
"615",34,"compositional",4,28,21,55
"616",9,"spectral",14,44,21,13
"617",35,"compositional",8,16,21,74
"618",30,"compositional",3,33,21,37
"619",5,"spectral",3,43,21,35
"620",17,"spectral",10,2,21,0
"621",31,"compositional",17,24,21,75
"622",20,"spectral",3,43,21,98
"623",9,"spectral",4,28,21,43
"624",21,"compositional",10,36,21,35
"625",15,"spectral",3,25,21,3
"626",11,"spectral",17,3,21,96
"627",20,"spectral",3,25,21,6
"628",27,"compositional",25,32,21,82
"629",21,"compositional",10,35,21,71
"630",31,"compositional",17,15,21,56
"631",22,"compositional",14,34,22,24
"632",1,"spectral",14,44,22,27
"633",26,"compositional",8,16,22,86
"634",14,"spectral",4,4,22,11
"635",35,"compositional",8,21,22,57
"636",26,"compositional",4,4,22,75
"637",29,"compositional",8,21,22,19
"638",15,"spectral",3,25,22,4
"639",14,"spectral",4,47,22,58
"640",9,"spectral",14,34,22,4
"641",33,"compositional",25,27,22,83
"642",31,"compositional",14,44,22,7
"643",16,"spectral",3,25,22,3
"644",5,"spectral",3,17,22,3
"645",5,"spectral",3,29,22,3
"646",32,"compositional",17,15,22,67
"647",1,"spectral",14,40,22,16
"648",4,"spectral",8,18,22,3
"649",7,"spectral",8,50,22,5
"650",36,"compositional",3,7,22,83
"651",16,"spectral",25,13,22,4
"652",16,"spectral",14,9,22,2
"653",26,"compositional",8,18,22,3
"654",11,"spectral",17,8,22,36
"655",11,"spectral",10,36,22,3
"656",21,"compositional",10,31,22,13
"657",35,"compositional",10,2,22,2
"658",16,"spectral",25,27,22,88
"659",30,"compositional",3,43,22,7
"660",26,"compositional",4,19,22,27
"661",14,"spectral",4,38,23,24
"662",16,"spectral",3,33,23,44
"663",15,"spectral",25,14,23,11
"664",35,"compositional",4,10,23,69
"665",20,"spectral",3,7,23,91
"666",16,"spectral",14,26,23,86
"667",16,"spectral",17,20,23,17
"668",32,"compositional",17,24,23,59
"669",34,"compositional",4,22,23,39
"670",35,"compositional",8,16,23,84
"671",32,"compositional",17,20,23,11
"672",31,"compositional",14,44,23,40
"673",15,"spectral",3,25,23,13
"674",15,"spectral",25,32,23,84
"675",29,"compositional",8,18,23,57
"676",28,"compositional",14,26,23,80
"677",9,"spectral",4,10,23,7
"678",14,"spectral",4,47,23,80
"679",31,"compositional",14,40,23,70
"680",38,"compositional",25,13,23,11
"681",22,"compositional",14,11,23,12
"682",35,"compositional",8,21,23,12
"683",1,"spectral",14,9,23,12
"684",0,"spectral",4,19,23,13
"685",34,"compositional",4,28,23,59
"686",11,"spectral",10,31,23,88
"687",1,"spectral",14,11,23,72
"688",9,"spectral",4,46,23,13
"689",15,"spectral",25,13,23,5
"690",15,"spectral",3,43,23,55
"691",35,"compositional",10,39,24,67
"692",31,"compositional",17,24,24,36
"693",21,"compositional",10,31,24,20
"694",16,"spectral",17,15,24,54
"695",29,"compositional",8,48,24,33
"696",0,"spectral",4,28,24,15
"697",0,"spectral",4,10,24,1
"698",7,"spectral",8,49,24,0
"699",22,"compositional",14,40,24,13
"700",14,"spectral",10,31,24,37
"701",32,"compositional",17,24,24,86
"702",10,"spectral",17,24,24,71
"703",14,"spectral",4,10,24,5
"704",1,"spectral",14,26,24,46
"705",21,"compositional",10,37,24,44
"706",15,"spectral",3,25,24,0
"707",16,"spectral",17,24,24,30
"708",16,"spectral",25,32,24,42
"709",5,"spectral",3,33,24,0
"710",13,"spectral",25,32,24,27
"711",17,"spectral",10,31,24,29
"712",14,"spectral",4,22,24,0
"713",32,"compositional",17,20,24,11
